NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
144,Iman,2018-08-31,tue,DAY,2,braga,Air Sungai,20,7.6,10,14,25,50
145,Iman,2018-09-01,wed,DAY,3,braga,Air Sungai,20,10,10,14,25,50
146,Iman,2018-09-04,sat,END,3,braga,Air Sungai,20,10,10,14,25,250
147,Iman,2018-09-05,sun,END,3,braga,Air Sungai,20,10,10,14,25,100
148,Iman,2018-09-07,tue,DAY,3,braga,Air Sungai,20,10,10,14,25,250
149,Iman,2018-09-08,wed,DAY,3,braga,Air Sungai,20,10,10,14,10,50
150,Iman,2018-09-11,sat,END,3,braga,Air Sungai,20,10,15,7,10,100
151,Iman,2018-09-12,sun,END,3,braga,Air Sungai,20,7.6,10,14,10,250
152,Iman,2018-09-14,tue,DAY,3,braga,Air Sungai,20,7.2,15,14,25,50
153,Iman,2018-09-15,wed,DAY,3,braga,Air Sungai,20,8,15,14,25,100
154,Iman,2018-09-18,sat,END,3,braga,Air Sungai,20,10,10,14,10,50
155,Iman,2018-09-19,sun,END,3,braga,Air Sungai,20,10,6,7,25,250
156,Iman,2018-09-21,tue,DAY,3,braga,Air Sungai,20,10,15,14,25,250
157,Iman,2018-09-22,wed,DAY,3,braga,Air Sungai,20,10,15,14,25,100
158,Iman,2018-09-25,sat,END,3,braga,Air Sungai,20,10,6,7,25,250
159,Iman,2018-09-26,sun,END,3,braga,Air Sungai,20,10,6,7,10,50
160,Iman,2018-09-28,tue,DAY,3,braga,Air Sungai,20,10,15,14,25,250
161,Iman,2018-09-29,wed,DAY,3,braga,Air Sungai,20,10,15,14,25,100
