NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
89,Rendy,2018-09-15,wed,DAY,3,braga,Air Sumur,20,10,6,7,10,50
90,Rendy,2018-09-18,sat,END,3,braga,Air Sumur,20,10,20,28,25,250
91,Rendy,2018-09-19,sun,END,3,braga,Air Sumur,20,10,20,28,25,100
92,Rendy,2018-09-21,tue,DAY,3,braga,Air Sumur,20,10,20,28,25,50
93,Rendy,2018-09-22,wed,DAY,3,braga,Air Sumur,20,10,20,28,25,500
94,Rendy,2018-09-25,sat,END,3,braga,Air Sumur,20,10,20,28,25,100
95,Rendy,2018-09-26,sun,END,3,braga,Air Sumur,20,10,20,28,25,250
96,Rendy,2018-09-28,tue,DAY,3,braga,Air Sumur,20,10,20,14,10,50
97,Rendy,2018-09-29,wed,DAY,3,braga,Air Sumur,20,10,15,7,10,100
98,Rendy,2018-06-12,sat,END,1,braga,Air Sungai,20,8,10,14,10,500
99,Rendy,2018-06-13,sun,END,1,braga,Air Sungai,20,8,20,28,25,50
100,Rendy,2018-06-15,tue,DAY,1,braga,Air Sungai,20,8,20,28,25,100
101,Rendy,2018-06-16,wed,DAY,1,braga,Air Sungai,20,10,20,28,25,50
102,Rendy,2018-06-19,sat,END,1,braga,Air Sungai,20,10,20,28,25,500
103,Rendy,2018-06-20,sun,END,1,braga,Air Sungai,20,10,20,28,25,100
104,Rendy,2018-06-22,tue,DAY,1,braga,Air Sungai,20,10,20,28,25,250
105,Rendy,2018-06-23,wed,DAY,1,braga,Air Sungai,20,10,20,14,10,50
106,Rendy,2018-06-26,sat,END,1,braga,Air Sungai,20,10,15,7,10,100
107,Rendy,2018-06-27,sun,END,1,braga,Air Sungai,20,8,10,14,10,500
108,Rendy,2018-06-29,tue,DAY,1,braga,Air Sungai,20,8,20,28,25,50
109,Rendy,2018-06-30,wed,DAY,1,braga,Air Sungai,20,8,20,28,25,100
110,Rendy,2018-07-03,sat,END,2,braga,Air Sungai,20,10,10,14,10,50
111,Rendy,2018-07-04,sun,END,2,braga,Air Sungai,20,10,6,7,25,250
112,Rendy,2018-07-06,tue,DAY,2,braga,Air Sungai,20,10,20,28,25,250
113,Rendy,2018-07-07,wed,DAY,2,braga,Air Sungai,20,10,20,28,25,100
114,Rendy,2018-07-10,sat,END,2,braga,Air Sungai,20,10,6,7,25,250
115,Rendy,2018-07-11,sun,END,2,braga,Air Sungai,20,10,6,7,10,50
116,Rendy,2018-07-13,tue,DAY,2,braga,Air Sungai,20,10,20,28,25,250
117,Rendy,2018-07-14,wed,DAY,2,braga,Air Sungai,20,10,20,28,25,100
118,Rendy,2018-07-17,sat,END,2,braga,Air Sungai,20,10,15,14,10,100
119,Rendy,2018-07-18,sun,END,2,braga,Air Sungai,20,8,10,28,25,100
120,Rendy,2018-07-20,tue,DAY,2,braga,Air Sungai,20,8,10,14,25,50
121,Rendy,2018-07-21,wed,DAY,2,braga,Air Sungai,20,8,20,14,25,100
122,Rendy,2018-07-24,sat,END,2,braga,Air Sungai,20,8,20,28,10,50
123,Rendy,2018-07-25,sun,END,2,braga,Air Sungai,20,10,6,28,25,250
124,Rendy,2018-07-27,tue,DAY,2,braga,Air Sungai,20,10,6,7,25,250
125,Rendy,2018-07-28,wed,DAY,2,braga,Air Sungai,20,10,20,28,25,50
126,Rendy,2018-07-31,sat,END,2,braga,Air Sungai,20,10,20,28,25,500
127,Rendy,2018-08-01,sun,END,2,braga,Air Sungai,20,10,20,28,25,100
128,Rendy,2018-08-03,tue,DAY,2,braga,Air Sungai,20,10,20,28,25,250
129,Rendy,2018-08-04,wed,DAY,2,braga,Air Sungai,20,10,20,14,10,50
130,Rendy,2018-08-07,sat,END,2,braga,Air Sungai,20,10,15,7,10,100
131,Rendy,2018-08-08,sun,END,2,braga,Air Sungai,20,8,10,14,10,500
132,Rendy,2018-08-10,tue,DAY,2,braga,Air Sungai,20,8,20,28,25,50
133,Rendy,2018-08-11,wed,DAY,2,braga,Air Sungai,20,8,20,28,25,100
134,Rendy,2018-08-14,sat,END,2,braga,Air Sungai,20,10,10,14,10,50
135,Rendy,2018-08-15,sun,END,2,braga,Air Sungai,20,10,6,7,25,250
136,Rendy,2018-08-17,tue,DAY,2,braga,Air Sungai,20,10,20,28,25,250
137,Rendy,2018-08-18,wed,DAY,2,braga,Air Sungai,20,10,20,28,25,50
138,Rendy,2018-08-21,sat,END,2,braga,Air Sungai,20,10,20,28,25,500
139,Rendy,2018-08-22,sun,END,2,braga,Air Sungai,20,10,20,28,25,100
